# 	Wavelength	 Divided_Spectra	 Divided_Error
1.082870231913216003e+03 1.028239827747312818e+00 8.565665473035315169e-02
1.083119817296973906e+03 1.131135417675494192e+00 1.043698513167117814e-01
1.083369130801228721e+03 1.073151706221575408e+00 9.913970400108020053e-02
1.083618988064489713e+03 1.068167952658973130e+00 1.008911889937295914e-01
1.083868301568744755e+03 1.003326281315233492e+00 8.837726236100895694e-02
1.084117615072999570e+03 8.630003765195320975e-01 6.969565273100866709e-02
1.084367472336260562e+03 7.780988009246496695e-01 6.012096270898285855e-02
1.084617057720018465e+03 8.388532767159758707e-01 6.485214933296871986e-02
1.084867186862782319e+03 9.340891025569598716e-01 7.391271131473080291e-02
1.085116772246540222e+03 9.146953790496924475e-01 6.692002471698166310e-02
1.085366901389304303e+03 1.006778809251814177e+00 7.570464259323061995e-02
1.085616486773062206e+03 9.527625366656480299e-01 6.793984100072739118e-02
1.085866344036323198e+03 9.333578367580935842e-01 6.581367072967760079e-02
1.086116745058589913e+03 9.864797349828123840e-01 7.421406362807478341e-02
1.086366602321850905e+03 9.016625888419949053e-01 6.902613580988295472e-02
1.086617003344117848e+03 8.338033518194892801e-01 6.447087967812856202e-02
1.086867132486881928e+03 9.442061058250829086e-01 8.267424158657846189e-02
1.087117805388651732e+03 1.104991973786155990e+00 1.119565720587547136e-01
1.087367934531415585e+03 1.138960154040939088e+00 1.174892423814055814e-01
1.087617791794676577e+03 1.065302256216751786e+00 1.004248624047641425e-01
1.087868736575949470e+03 9.711778935076763597e-01 8.279978477454059960e-02
1.088118865718713323e+03 8.442710920797660279e-01 6.496143442372377674e-02
1.088369810499986215e+03 8.360888409348190553e-01 6.008043581986249188e-02
1.088620211522253385e+03 9.593873433344409785e-01 7.330500957848647137e-02
1.088871428183029366e+03 9.591062000274785948e-01 7.400656663689142434e-02
1.089121829205296081e+03 9.261984629385091594e-01 6.873938916601589344e-02
1.089372502107066111e+03 1.116519490283312210e+00 9.333909865740346035e-02
1.089623718767842092e+03 9.512003279044869419e-01 7.241016122138392574e-02
1.089874391669611896e+03 9.081410951538406717e-01 6.955440370343167478e-02
1.090125608330387877e+03 9.062169194656048976e-01 6.565800092043404257e-02
1.090376281232157908e+03 1.012243932208531927e+00 7.975881654042851765e-02
