SDSS_Names_14,Plate_14,Mjd_14,Fiber_14,Mbh_14,Mbh_err_14,Lbol_14,Quality_Lbol_14,Redd_14,Quality_Redd_14
104114.53+471239.1,6010,56097,90,9.527372283973072,0.06884768483089776,47.067982339909854,0,-0.5992690304644573,-999
085325.95+244323.7,6430,56299,510,9.34672274380446,0.06266304519525473,46.89480882342189,0,-0.5917930067838083,0
014022.68+075357.0,7671,57360,360,9.42946322843732,0.020002473864682725,46.77723947085281,0,-0.792102843985747,0
015146.08+094702.8,5175,55955,532,9.522946826945578,0.037029945442472297,46.77323102755502,0,-0.8895948857917962,0
081613.70+370030.1,5284,55866,892,9.417025422164135,0.013246893634846569,47.088928176881566,0,-0.46797633168380776,-999
094629.18+264129.8,6693,56384,730,9.476312966865448,0.08997098899709008,46.784600338665115,0,-0.8315917146015722,0
102434.56+115408.2,6815,56419,970,8.755546517921122,0.06149966266760691,46.793547877049384,0,-0.10187772727297612,-999
015707.78-011241.7,7445,56720,783,9.951486044521634,0.23041759916187465,47.02887536289765,0,-1.0624897680252214,12
084157.85+255739.6,8160,57071,930,8.760449486502075,0.0416267637549619,47.01957995394854,0,0.11925138104522931,-999
020410.20+273251.2,5155,55946,173,9.14220252295173,0.06445763229506618,47.03401218020342,0,-0.24806942914954905,0
113237.74-015144.2,5455,56009,188,8.879472666978762,0.03058730313087085,46.72007282794606,0,-0.2992789254339387,0
