NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-5465-55988-0798norm.dr16,2542.01,"[2419.52, 1.37, 121.12]",[-31602.50585 -47941.51212 -54975.68178],[-42409.65116 -48681.15901 -57373.3975 ],"[2440.57, 33.16, 145.36]","[0.64, 0.26, 0.28]"
,,,,,,
spec-2582-54139-0485norm.dr16,488.78,[488.78],[-43442.32859],[-48363.15782],[538.51],[0.33]
,,,,,,
spec-5320-55999-0336norm.dr16,188.71,"[66.63, 122.08]",[-43577.50518 -45872.34712],[-44995.5101  -48363.15782],"[87.39, 127.05]","[0.22, 0.22]"
,,,,,,
spec-9587-57784-0340norm.dr16,33.71,"[26.06, 7.65]",[-43915.28598 -47758.02168],[-44860.52689 -48564.9856 ],"[61.47, 26.45]","[0.19, 0.19]"
,,,,,,
spec-1618-53116-0538norm.dr16,109.97,"[13.07, 6.41, 89.02, 1.47]",[-31198.83195 -34199.96338 -35085.42636 -38213.33242],[-32359.26335 -34745.01576 -36582.32894 -38756.40709],"[28.64, 25.57, 109.04, 11.75]","[0.21, 0.19, 1.07, 0.19]"
,,,,,,
spec-5374-55947-0608norm.dr16,354.16,[354.16],[-32222.74415],[-38145.32759],[358.53],[0.5]
,,,,,,
spec-2511-53882-0552norm.dr16,694.38,"[6.36, 685.74, 2.28]",[-31802.99995 -32690.02802 -56038.18976],[-32349.01033 -40780.7092  -56837.11627],"[20.21, 710.53, 10.6]","[0.18, 0.31, 0.15]"
,,,,,,
spec-6422-56328-0988norm.dr16,1403.92,"[1299.27, 104.65]",[-29959.04622 -55171.57151],[-40983.90523 -58366.20417],"[1349.49, 109.87]","[0.45, 0.32]"
,,,,,,
spec-2225-53729-0182norm.dr16,3.17,[3.17],[-52272.17139],[-52807.53107],[17.92],[0.27]
,,,,,,
spec-6402-56334-0966norm.dr16,558.57,"[35.6, 522.97]",[-34775.89316 -43865.8906 ],[-35592.81308 -50731.31614],"[68.67, 527.44]","[0.31, 0.44]"
,,,,,,
spec-1713-53827-0211norm.dr16,706.18,"[540.09, 140.79, 14.85, 10.45]",[-33446.57572 -38820.58927 -48481.67885 -55511.38832],[-38549.15413 -41058.10341 -49086.52562 -56244.37874],"[573.93, 184.43, 31.22, 21.48]","[0.47, 0.39, 0.25, 0.23]"
,,,,,,
spec-5476-55986-0599norm.dr16,942.54,"[888.69, 47.53, 6.32]",[-33855.64745 -42411.9561  -46395.28451],[-41938.35759 -43088.1968  -47001.49917],"[970.12, 78.8, 52.07]","[0.37, 0.44, 0.28]"
,,,,,,
spec-6456-56339-0894norm.dr16,750.22,"[25.43, 228.44, 36.83, 459.52]",[-29992.55734 -31972.98607 -36741.4775  -38779.50201],[-31017.24019 -33950.71156 -37557.22633 -46017.57987],"[37.17, 298.48, 42.38, 478.38]","[0.19, 0.34, 0.25, 0.32]"
,,,,,,
spec-10464-58155-0575norm.dr16,734.89,"[125.7, 1.25, 106.4, 501.54]",[-32109.49482 -34972.37038 -36197.47548 -38508.08691],[-33746.14492 -35517.06674 -37828.86616 -46960.70375],"[160.83, 5.16, 115.08, 502.73]","[0.27, 0.13, 0.33, 0.28]"
,,,,,,
spec-2430-53815-0471norm.dr16,325.04,"[51.84, 0.34, 266.69, 6.17]",[-34587.12763 -35948.67187 -37512.5418  -45905.88196],[-35472.34263 -36492.77523 -39956.0373  -46579.88176],"[193.36, 8.47, 306.2, 97.56]","[0.78, 0.2, 0.47, 0.97]"
,,,,,,
spec-5288-55865-0958norm.dr16,276.34,"[2.13, 274.2]",[-35948.67187 -36900.82525],[-36492.77523 -39956.0373 ],"[10.15, 286.85]","[0.14, 0.34]"
,,,,,,
spec-5290-55862-0164norm.dr16,263.11,"[253.18, 9.92]",[-36968.71247 -45905.88196],[-40227.27252 -46579.88176],"[282.27, 293.24]","[0.34, 0.92]"
,,,,,,
spec-1372-53062-0154norm.dr16,1775.75,"[2.59, 58.54, 480.74, 259.53, 933.59, 40.76]","[-29951.59451 -33432.73696 -38535.16867 -42465.76366 -45505.14991
 -53762.51784]","[-30498.10381 -34114.18912 -42127.5502  -43412.38016 -53361.65785
 -55164.28961]","[194.16, 94.42, 490.82, 304.95, 954.6, 56.49]","[0.74, 0.44, 0.48, 0.95, 0.88, 0.21]"
,,,,,,
spec-6636-56367-0036norm.dr16,1428.75,"[647.62, 610.79, 147.61, 15.3, 7.44]",[-35408.11923 -42059.75812 -49677.14038 -52023.6125  -54497.09536],[-41653.74959 -48400.66974 -50482.33978 -53094.19856 -55431.03104],"[655.43, 621.41, 241.47, 19.99, 16.39]","[0.47, 0.91, 0.73, 0.2, 0.16]"
,,,,,,
spec-8374-57783-0919norm.dr16,1064.98,"[450.27, 84.23, 400.9, 129.58]",[-34931.53804 -39553.16855 -42398.22067 -49677.14038],[-38942.5305  -40434.45838 -45842.43511 -50482.33978],"[457.82, 126.01, 418.64, 209.39]","[0.4, 0.4, 0.9, 0.7]"
,,,,,,
spec-5444-56038-0942norm.dr16,187.31,"[31.24, 156.06]",[-43128.64983 -45694.12485],[-44749.70757 -48723.51454],"[67.92, 186.77]","[0.28, 0.35]"
,,,,,,
