SDSS name,Spec Files,Redshift,OG EHVO Obs,Tmin From EHVO,Tmin (restframe),Done,2000 BI LIMIT,500 BI LIMIT,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,,Variable?,Variable between EHVO and Tmin epochs?,,,,,,
J085119.10+134652.5,spec-5288-55865-0958,3.204,1,0.713606,0.713606,TRUE,First 2,,276.34,[274.2],[-36900.82525],[-39956.0373 ],[286.85],[ 0.34],,TRUE,TRUE,,,,,,
J085119.10+134652.5,spec-5290-55862-0164,3.204,0,0.713606,0.713606,TRUE,First,,263.11,[253.18],[-36968.71247 ],[-40227.27252 ,[282.27],[0.34],,TRUE,TRUE,,,,,,
J123815.03+443026.2,spec-6636-56367-0036,3.3,0,329.302,329.302,TRUE,First 2,,1428.75,"[647.62, 610.79]",[-35408.11923 -42059.75812 ],[-41653.74959 -48400.66974 -50482.33978 -53094.19856 -55431.03104],"[655.43, 621.41]","[0.47, 0.91]",,TRUE,TRUE,Tmin epoch,,,,,
J123815.03+443026.2,spec-8374-57783-0919,3.3,1,329.302,329.302,TRUE,1 and 3,,1064.98,"[450.27, 400.9]",[-34931.53804 -42398.22067 ],[-38942.5305  -45842.43511],"[457.82, 418.64]","[ 0.4, 0.9]",,TRUE,TRUE,,,,,,
J135402.11+182810.9,spec-5444-56038-0942,3.403,0,1.589825119,1.589825119,TRUE,Both,,187.31,"[31.24, 156.06]",[-43128.64983 -45694.12485],[-44749.70757 -48723.51454],"[67.92, 186.77]","[0.28, 0.35]",,FALSE,FALSE,Maybe? Leaning towards no because of the time difference being so low,,,,,
J135402.11+182810.9,spec-5868-56045-0372,3.403,1,1.589825119,1.589825119,TRUE,Both,,333.45,"[26.09, 307.35]",[-43872.01366 -45289.56442],[-45019.67396 -48790.62756],"[35.42, 323.4]","[0.26, 0.42]",,FALSE,FALSE,,,,,,
J011135.35+181826.1,spec-5133-55860-0412,3.45,0,196.1797753,196.1797753,TRUE,First 2,,181.45,"[138.73, 5.09]",[-40564.33995 -44014.73599 ],[-43406.68167 -44622.44677 ],"[157.29, 12.51]","[0.31, 0.18,]",,TRUE,TRUE,,,,,,
J011135.35+181826.1,spec-7622-56987-0113,3.45,1,196.1797753,196.1797753,TRUE,,,220.03,"[19.75, 200.28]",[-40835.40467 -41986.47373],[-41580.28607 -46914.66435],"[26.4, 202.36]","[0.22, 0.51]",,TRUE,TRUE,,,,,,
J144911.37+370734.0,spec-5174-56047-0344,3.583,1,475.0163648,475.0163648,TRUE,First,,1601.07,[1482.58],[-34442.18175 ],[-41844.23204 ],[1505.88],[0.72],,FALSE,FALSE,"No, appears to be a normalization issue",,,,,
J144911.37+370734.0,spec-10748-58224-0461,3.583,0,475.0163648,475.0163648,TRUE,First,,3234.37,[3180.33],[-32533.48354 ],[-43940.28716],[3189.78],[0.9],,FALSE,FALSE,,,,,,
J230820.39+204004.3,spec-6122-56246-0696,3.623,1,158.7713606,158.7713606,TRUE,2nd,,595.95,[ 465.36],[-46216.79234],[-50117.1391 ],[473.2],[ 0.32],,TRUE,TRUE,"Close, but looks like yes",,,,,
J230820.39+204004.3,spec-7610-56980-0454,3.623,0,158.7713606,158.7713606,TRUE,3rd,,393.6,[245.2],[-47159.7806 ],[-49647.31173 ],[284.32],[0.35],,TRUE,TRUE,,,,,,
J150116.10+525556.8,spec-6720-56390-0552,3.851,0,298.2890126,298.2890126,TRUE,"First only, second trough is explained by massive absorption near 20k",,710.23,[385.12],[-36811.46132],[-40002.56256 ],[420.58],[0.41],,FALSE,FALSE,Non-variable,,,,,
J150116.10+525556.8,spec-8396-57837-0736,3.851,1,298.2890126,298.2890126,TRUE,"First, same issue",,1026.8,[326.26],[-36879.39481 ],[-39799.20107],[335.33,[0.33],,FALSE,FALSE,,,,,,
J104121.11+334901.6,spec-1982-53436-0626,4.121,0,571.3727788,571.3727788,TRUE,"All but first
and last",,504.85,"[7.88, 129.85, 78.59, 52.64, 106.22, 129.67]","[ -39475.88536 -41509.02641 -42997.59798 -45158.823
 
  ]","[-41102.77058 -42659.50436 -44618.84809 -47382.49469
 
  ]","[156.47, 90.79, 89.35, 107.5]","[ 0.31, 0.41, 0.27, 0.37]",,TRUE,TRUE,"Could be noise, but ill claim variability",,,,,
J104121.11+334901.6,spec-6447-56362-0854,4.121,1,571.3727788,571.3727788,TRUE,First 2,,577.15,"[435.07, 85.16]",[-39543.80943 -45428.49091],[-43741.06198 -47449.69926],"[468.85, 100.13]","[0.36, 0.28]",,TRUE,TRUE,,,,,,
J131056.86+105530.1,spec-5421-55980-0918,4.479,1,1.095090345,1.095090345,TRUE,,,187.85,[187.85],[-53918.0452],[-56851.67565],[195.41],[0.33],,FALSE,FALSE,Non variable,,,,,
J131056.86+105530.1,spec-5422-55986-0288,4.479,0,1.095090345,1.095090345,TRUE,,,168.82,[168.82],[-54185.21222],[-55986.17547],[200.14],[0.36],,FALSE,FALSE,,,,,,
