,Spectra Name,Redshift,SNR
339,spec-8862-57461-0578-dered.dr16,1.92387,13.65603
340,spec-9142-57664-0462-dered.dr16,1.9322,12.58021
341,spec-10227-58224-0685-dered.dr16,1.9329,15.16201
342,spec-5204-56036-0080-dered.dr16,1.935,17.69256
343,spec-5306-55926-0688-dered.dr16,1.93365,18.75302
344,spec-5430-56000-0106-dered.dr16,1.93689,15.74645
345,spec-5710-56658-0044-dered.dr16,1.933,18.89757
346,spec-5774-56002-0738-dered.dr16,1.93168,14.9444
347,spec-6014-56072-0778-dered.dr16,1.93746,17.46064
348,spec-6035-56076-0802-dered.dr16,1.93321,20.86858
349,spec-6685-56412-0390-dered.dr16,1.93268,28.60098
350,spec-8517-57899-0078-dered.dr16,1.933,28.70803
351,spec-7656-57338-0951-dered.dr16,1.9324,15.59655
352,spec-10261-58462-0333-dered.dr16,1.9335,18.07956
353,spec-8736-57400-0745-dered.dr16,1.93211,19.10558
354,spec-10265-58512-0796-dered.dr16,1.9336,12.87281
355,spec-7676-57329-0422-dered.dr16,1.927552,18.50758
356,spec-9215-57682-0528-dered.dr16,1.9338,19.08017
357,spec-7727-58152-0921-dered.dr16,1.9339,13.88336
358,spec-8760-57672-0330-dered.dr16,1.9339,15.21965
359,spec-5890-56037-0317-dered.dr16,1.93707,21.35122
360,spec-5895-56046-0184-dered.dr16,1.934,33.67741
361,spec-6000-56102-0703-dered.dr16,1.94187,33.47108
362,spec-6112-56191-0806-dered.dr16,1.93384,18.7311
363,spec-6712-56421-0156-dered.dr16,1.93109,13.14076
364,spec-6974-56442-0298-dered.dr16,1.93828,13.68363
365,spec-7666-57339-0765-dered.dr16,1.940907,16.55981
366,spec-8860-57458-0598-dered.dr16,1.937439,29.48324
367,spec-8729-57399-0251-dered.dr16,1.94173,11.8124
368,spec-7314-56990-0308-dered.dr16,1.93986,11.28775
369,spec-9311-57743-0146-dered.dr16,1.9345,32.17011
370,spec-7653-57306-0943-dered.dr16,1.93969,19.59355
371,spec-7642-57651-0440-dered.dr16,1.9349,12.9435
372,spec-7895-57659-0490-dered.dr16,1.9349,28.21935
373,spec-8729-57399-0784-dered.dr16,1.94736,17.19851
374,spec-4686-56013-0995-dered.dr16,1.93269,26.51027
375,spec-5420-56009-0478-dered.dr16,1.928937,15.48158
376,spec-5876-56042-0228-dered.dr16,1.93532,19.69574
377,spec-6002-56104-0336-dered.dr16,1.93451,21.27709
378,spec-6003-56311-0298-dered.dr16,1.93757,15.85939
379,spec-6737-56365-0556-dered.dr16,1.93435,11.66562
380,spec-6970-56444-0832-dered.dr16,1.9332,16.37987
381,spec-7378-56715-0173-dered.dr16,1.935,15.42166
382,spec-8735-58133-0020-dered.dr16,1.9351,18.38821
383,spec-7835-56986-0183-dered.dr16,1.934826,15.82749
384,spec-8825-57451-0566-dered.dr16,1.93569,12.82631
385,spec-7748-58396-0620-dered.dr16,1.9354,18.53426
386,spec-7579-56954-0301-dered.dr16,1.94274,14.09699
387,spec-5212-56016-0036-dered.dr16,1.93831,36.21621
388,spec-5336-55957-0430-dered.dr16,1.93759,15.79804
389,spec-5455-56009-0770-dered.dr16,1.93977,18.20275
