MJD,RUN2D,CATALOGID,SDSS_ID,Z
59312,v6_1_3,4360799712,58640514,2.142510156012456
59315,v6_1_3,4592600269,55777994,2.4535096569642065
59317,v6_1_3,4592719429,80046137,2.466317458597609
59318,v6_1_3,4570396477,79999006,2.4974177724016258
59342,v6_1_3,4351044066,62245617,2.885118269214131
59343,v6_1_3,4346407017,61251896,1.917577789063233
59344,v6_1_3,4346406124,61251380,2.034517526626587
59345,v6_1_3,4592696913,80014160,2.090600086375675
59346,v6_1_3,4359641145,57339983,2.9324009656308996
59347,v6_1_3,4351695975,126021598,2.603702296933359
59347,v6_1_3,4603792017,60246603,2.415608009630241
59347,v6_1_3,4603863596,60249124,2.566819273823453
59347,v6_1_3,4603865172,61555855,2.2502781183769156
59352,v6_1_3,4593060184,79959658,2.735287618853649
59375,v6_1_3,4600807256,78996621,2.155010254025049
59375,v6_1_3,4600826374,59458987,2.0713355033667717
59375,v6_1_3,5189732386,60631886,2.347261167454725
59381,v6_1_3,4349287058,62547044,2.5098930710066853
59381,v6_1_3,4350968799,62238643,1.9074172924703796
59381,v6_1_3,4351336868,62109469,1.9226968830848983
59636,v6_1_3,27021598102747887,55761488,2.4741520440074933
59636,v6_1_3,27021598102751833,55767388,2.090056564068228
59641,v6_1_3,27021598151253813,80071267,2.077404499053955
59645,v6_1_3,27021598131884976,79742830,2.7550717071593347
59647,v6_1_3,27021598146870109,79024464,2.0950744053917085
59663,v6_1_3,27021598149728474,55765156,2.411038338923072
59664,v6_1_3,27021598102797414,55770147,2.2426546327994323
59676,v6_1_3,27021598131745097,79763815,1.9113547592928657
59731,v6_1_3,27021598157842437,78963715,2.167416151703776
59734,v6_1_3,27021598155864333,79033170,2.1675867543206366
59879,v6_1_3,27021597957492020,70353359,2.17197931839873
59883,v6_1_3,27021598104079315,56198874,2.778317944933899
59904,v6_1_3,27021598102806843,55771524,2.1637888585350114
59904,v6_1_3,27021598149891530,55804144,2.8689818820599213
59910,v6_1_3,27021598149922770,55785551,2.204368556152089
59940,v6_1_3,27021597934481635,70062425,1.9283594577223395
59953,v6_1_3,27021597913940744,58856071,2.2105594409008775
59976,v6_1_3,27021597917728702,58009943,3.2526527924693793
59999,v6_1_3,27021597973421134,75647925,2.477406412839889
60014,v6_1_3,27021598103009307,55872320,2.3320261608671045
60018,v6_1_3,27021598150722651,56089616,3.694539569323868
60052,v6_1_3,27021600049989020,121907048,2.561042714057329
60056,v6_1_3,27021598146793334,78857788,2.145636146984064
60062,v6_1_3,27021598726446681,59420958,2.0876646663179086
60088,v6_1_3,27021598149618953,78958776,2.1704983314525985
60088,v6_1_3,27021598728823170,59713268,2.9457483731834784
60118,v6_1_3,27021597909959875,62239901,1.949177404445798
60118,v6_1_3,27021597910082661,62238025,2.5936386634151334
60119,v6_1_3,27021598160770476,61556870,2.2174253845033705
